Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
29,TPE,0.238695194,16:36.2,18:19.4,0 days 00:01:43.162408,,KNN,3,WPD,,ENT,,manhattan,12,,,,7,0.95,,,,0.4,coif1,,,102.58,,PRUNED,0
30,TPE,0.187262722,18:19.4,20:11.4,0 days 00:01:52.047134,,KNN,7,WPD,,ENT,,manhattan,16,,,,2,0.75,,,,0.9,db4,,,111.73,,PRUNED,0
31,TPE,0.30243,20:11.4,22:12.1,0 days 00:02:00.683201,,KNN,1,WPD,,ENT,,manhattan,11,,,,5,0.8,,,,0.75,coif1,59634.54,0.44,120.11,0.112902718,COMPLETE,0
32,TPE,0.34957,22:12.1,23:51.5,0 days 00:01:39.368197,,KNN,3,WPD,,ENT,,manhattan,8,,,,6,0.9,,,,0.9,coif1,59657.64,0.87,98.37,0.091561852,COMPLETE,0
33,TPE,0.31471,23:51.5,24:23.6,0 days 00:00:32.048398,,KNN,,WPD,,FRAC,40,manhattan,7,,,,,0.9,,,,0.95,coif1,59679.91,0.8,31.12,0.069832602,COMPLETE,0
34,TPE,0.069559149,24:23.6,26:03.8,0 days 00:01:40.174051,,KNN,3,NONE,,ENT,,manhattan,5,,,,6,0.5,,,,,,,,99.75,,PRUNED,0
35,TPE,0.030253672,26:03.8,26:39.7,0 days 00:00:35.901831,,MLP,,WPD,,STAT,,,,0.001378346,,1,,0.85,,,,0.9,coif1,,,33.57,,PRUNED,0
36,TPE,0.106054613,26:39.7,26:42.4,0 days 00:00:02.696236,,RF,3,NONE,,ENT,,,,,,,6,0.95,1010,302,,,,,,0.12,,PRUNED,0
37,TPE,0.117346496,26:42.4,27:56.0,0 days 00:01:13.560695,0.799494502,SVM,,WPD,,WAVE,,,,,,,,0.9,,,linear,0.85,sym9,,,73.15,,PRUNED,0
38,TPE,0.25308377,27:56.0,29:26.3,0 days 00:01:30.328417,,KNN,12,NONE,,ENT,,euclidean,9,,,,4,0.85,,,,,,,,89.84,,PRUNED,0
39,TPE,0.158464916,29:26.3,29:58.6,0 days 00:00:32.305391,,MLP,,WPD,,FRAC,2,,,0.003016182,,14,,0.8,,,,1,db6,,,27.7,,PRUNED,0
40,TPE,0.051084611,29:58.6,31:40.6,0 days 00:01:41.969275,,RF,2,WPD,,ENT,,,,,,,7,0.95,1010,2,,0.75,coif1,,,101.59,,PRUNED,0
41,TPE,0.31418,31:40.6,31:41.4,0 days 00:00:00.795673,,KNN,1,WPD,,ENT,,manhattan,12,,,,5,0.8,,,,0.8,coif1,59924,0.5,0.16,0.081012058,COMPLETE,0
42,TPE,0.39,31:41.4,31:42.4,0 days 00:00:00.974835,,KNN,1,WPD,,ENT,,manhattan,10,,,,5,0.85,,,,0.9,coif1,59928.84,0.68,0.17,0.092372475,COMPLETE,0
43,TPE,0.35406,31:42.4,31:43.5,0 days 00:00:01.044002,,KNN,3,WPD,,ENT,,manhattan,9,,,,6,0.85,,,,0.9,coif1,59934.1,0.73,0.18,0.10108119,COMPLETE,0
44,TPE,0.32767,31:43.5,33:23.1,0 days 00:01:39.645946,,KNN,4,WPD,,ENT,,manhattan,9,,,,6,0.9,,,,0.9,coif1,59957.47,0.88,98.64,0.081151295,COMPLETE,0
45,TPE,0.47598,33:23.2,34:58.5,0 days 00:01:35.306156,,KNN,3,WPD,,ENT,,manhattan,4,,,,5,0.9,,,,0.9,coif1,59979.87,0.82,94.34,0.094811735,COMPLETE,0
