Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
120,GP,0.155931443,02:48.1,02:49.0,0 days 00:00:00.912099,,KNN,,NONE,,WAVE,,euclidean,19,,,,,0.7,,,,,,,,0.41,,PRUNED,0
121,GP,0.138191829,02:49.0,02:49.8,0 days 00:00:00.853437,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.7,,,,,,,,0.39,,PRUNED,0
122,GP,0.14295696,02:49.9,02:50.7,0 days 00:00:00.881988,,KNN,,NONE,,WAVE,,manhattan,18,,,,,0.7,,,,,,,,0.39,,PRUNED,0
123,GP,0.138191829,02:50.8,02:51.6,0 days 00:00:00.829720,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.7,,,,,,,,0.39,,PRUNED,0
124,GP,0.127103076,02:51.6,02:52.5,0 days 00:00:00.864792,,KNN,,NONE,,WAVE,,manhattan,6,,,,,0.7,,,,,,,,0.39,,PRUNED,0
125,GP,0.155931443,02:52.5,02:53.4,0 days 00:00:00.884476,,KNN,,NONE,,WAVE,,euclidean,19,,,,,0.7,,,,,,,,0.39,,PRUNED,0
126,GP,0.127892715,02:53.4,02:54.3,0 days 00:00:00.914159,,KNN,,NONE,,WAVE,,manhattan,7,,,,,0.7,,,,,,,,0.43,,PRUNED,0
127,GP,0.139194902,02:54.3,02:55.2,0 days 00:00:00.928925,,KNN,,NONE,,WAVE,,manhattan,17,,,,,0.7,,,,,,,,0.41,,PRUNED,0
128,GP,0.090071669,02:55.2,02:56.1,0 days 00:00:00.839191,,KNN,,NONE,,WAVE,,euclidean,2,,,,,0.7,,,,,,,,0.39,,PRUNED,0
129,GP,0.110807199,02:56.1,02:57.0,0 days 00:00:00.900754,,KNN,,NONE,,WAVE,,minkowski,3,,,,,0.7,,,,,,,,0.39,,PRUNED,0
130,GP,0.148015753,02:57.0,02:57.9,0 days 00:00:00.858798,,KNN,,NONE,,WAVE,,euclidean,20,,,,,0.7,,,,,,,,0.38,,PRUNED,0
131,GP,0.112732194,02:57.9,02:58.7,0 days 00:00:00.856929,,KNN,,NONE,,WAVE,,manhattan,5,,,,,0.7,,,,,,,,0.39,,PRUNED,0
132,GP,0.138385977,02:58.7,02:59.6,0 days 00:00:00.835361,,KNN,,NONE,,WAVE,,euclidean,12,,,,,0.7,,,,,,,,0.38,,PRUNED,0
133,GP,0.138191829,02:59.6,03:00.4,0 days 00:00:00.866533,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.7,,,,,,,,0.38,,PRUNED,0
134,GP,0.14095871,03:00.5,03:01.3,0 days 00:00:00.869745,,KNN,,NONE,,WAVE,,minkowski,9,,,,,0.7,,,,,,,,0.39,,PRUNED,0
135,GP,0.120228317,03:01.3,03:02.2,0 days 00:00:00.845109,,KNN,,NONE,,WAVE,,euclidean,4,,,,,0.7,,,,,,,,0.39,,PRUNED,0
136,GP,0.138385977,03:02.2,03:03.1,0 days 00:00:00.931014,,KNN,,NONE,,WAVE,,minkowski,12,,,,,0.7,,,,,,,,0.45,,PRUNED,0
137,GP,0.138191829,03:03.1,03:04.0,0 days 00:00:00.896904,,KNN,,NONE,,WAVE,,euclidean,8,,,,,0.7,,,,,,,,0.39,,PRUNED,0
138,GP,0.148015753,03:04.1,03:04.9,0 days 00:00:00.875476,,KNN,,NONE,,WAVE,,euclidean,20,,,,,0.7,,,,,,,,0.39,,PRUNED,0
139,GP,0.148666781,03:04.9,03:05.9,0 days 00:00:00.916439,,KNN,,NONE,,WAVE,,manhattan,16,,,,,0.7,,,,,,,,0.4,,PRUNED,0
140,GP,0.151554962,03:05.9,03:06.7,0 days 00:00:00.851425,,KNN,,NONE,,WAVE,,minkowski,16,,,,,0.7,,,,,,,,0.38,,PRUNED,0
141,GP,0.148015753,03:06.7,03:07.6,0 days 00:00:00.909955,,KNN,,NONE,,WAVE,,minkowski,20,,,,,0.7,,,,,,,,0.42,,PRUNED,0
142,GP,0.142054763,03:07.7,03:08.6,0 days 00:00:00.909718,,KNN,,NONE,,WAVE,,minkowski,13,,,,,0.7,,,,,,,,0.42,,PRUNED,0
143,GP,0.138610766,03:08.6,03:09.4,0 days 00:00:00.861414,,KNN,,NONE,,WAVE,,minkowski,11,,,,,0.7,,,,,,,,0.39,,PRUNED,0
144,GP,0.128664907,03:09.5,03:10.3,0 days 00:00:00.857764,,KNN,,NONE,,WAVE,,euclidean,7,,,,,0.7,,,,,,,,0.39,,PRUNED,0
145,GP,0.147570254,03:10.3,03:11.2,0 days 00:00:00.897682,,KNN,,NONE,,WAVE,,minkowski,14,,,,,0.7,,,,,,,,0.39,,PRUNED,0
146,GP,0.142664969,03:11.2,03:12.2,0 days 00:00:00.992141,,KNN,,NONE,,WAVE,,manhattan,20,,,,,0.7,,,,,,,,0.45,,PRUNED,0
147,GP,0.127892715,03:12.2,03:13.2,0 days 00:00:00.917978,,KNN,,NONE,,WAVE,,manhattan,7,,,,,0.7,,,,,,,,0.39,,PRUNED,0
148,GP,0.126704414,03:13.2,03:14.1,0 days 00:00:00.940147,,KNN,,NONE,,WAVE,,manhattan,8,,,,,0.7,,,,,,,,0.42,,PRUNED,0
149,GP,0.120228317,03:14.1,03:15.0,0 days 00:00:00.843698,,KNN,,NONE,,WAVE,,euclidean,4,,,,,0.7,,,,,,,,0.39,,PRUNED,0
150,GP,0.127103076,03:15.0,03:16.0,0 days 00:00:00.978884,,KNN,,NONE,,WAVE,,manhattan,6,,,,,0.7,,,,,,,,0.4,,PRUNED,0
151,GP,0.155931443,03:16.0,03:16.9,0 days 00:00:00.916434,,KNN,,NONE,,WAVE,,minkowski,19,,,,,0.7,,,,,,,,0.42,,PRUNED,0
152,GP,0.151554962,03:16.9,03:17.8,0 days 00:00:00.860319,,KNN,,NONE,,WAVE,,euclidean,16,,,,,0.7,,,,,,,,0.39,,PRUNED,0
153,GP,0.120228317,03:17.8,03:18.6,0 days 00:00:00.825004,,KNN,,NONE,,WAVE,,minkowski,4,,,,,0.7,,,,,,,,0.39,,PRUNED,0
154,GP,0.142664969,03:18.6,03:19.5,0 days 00:00:00.924018,,KNN,,NONE,,WAVE,,manhattan,20,,,,,0.7,,,,,,,,0.4,,PRUNED,0
155,GP,0.103597416,03:19.5,03:20.5,0 days 00:00:00.931499,,KNN,,NONE,,WAVE,,minkowski,1,,,,,0.7,,,,,,,,0.49,,PRUNED,0
156,GP,0.146207857,03:20.5,03:21.4,0 days 00:00:00.876809,,KNN,,NONE,,WAVE,,euclidean,18,,,,,0.7,,,,,,,,0.39,,PRUNED,0
157,GP,0.155931443,03:21.4,03:22.3,0 days 00:00:00.904237,,KNN,,NONE,,WAVE,,minkowski,19,,,,,0.7,,,,,,,,0.41,,PRUNED,0
158,GP,0.14095871,03:22.3,03:23.2,0 days 00:00:00.885363,,KNN,,NONE,,WAVE,,minkowski,9,,,,,0.7,,,,,,,,0.39,,PRUNED,0
159,GP,0.137752984,03:23.2,03:24.0,0 days 00:00:00.859702,,KNN,,NONE,,WAVE,,manhattan,11,,,,,0.7,,,,,,,,0.38,,PRUNED,0
160,GP,0.137752984,03:24.1,03:25.0,0 days 00:00:00.893836,,KNN,,NONE,,WAVE,,manhattan,11,,,,,0.7,,,,,,,,0.39,,PRUNED,0
161,GP,0.151554962,03:25.0,03:25.9,0 days 00:00:00.962194,,KNN,,NONE,,WAVE,,minkowski,16,,,,,0.7,,,,,,,,0.48,,PRUNED,0
162,GP,0.147570254,03:25.9,03:26.9,0 days 00:00:00.965034,,KNN,,NONE,,WAVE,,minkowski,14,,,,,0.7,,,,,,,,0.48,,PRUNED,0
163,GP,0.156255051,03:26.9,03:27.8,0 days 00:00:00.882272,,KNN,,NONE,,WAVE,,euclidean,17,,,,,0.7,,,,,,,,0.38,,PRUNED,0
164,GP,0.138191829,03:27.8,03:28.7,0 days 00:00:00.858080,,KNN,,NONE,,WAVE,,euclidean,8,,,,,0.7,,,,,,,,0.39,,PRUNED,0
165,GP,0.148666781,03:28.7,03:29.7,0 days 00:00:01.050977,,KNN,,NONE,,WAVE,,manhattan,16,,,,,0.7,,,,,,,,0.39,,PRUNED,0
166,GP,0.149223109,03:29.7,03:30.6,0 days 00:00:00.864634,,KNN,,NONE,,WAVE,,euclidean,15,,,,,0.7,,,,,,,,0.38,,PRUNED,0
167,GP,0.147570254,03:30.6,03:31.5,0 days 00:00:00.864677,,KNN,,NONE,,WAVE,,minkowski,14,,,,,0.7,,,,,,,,0.39,,PRUNED,0
168,GP,0.093795093,03:31.5,03:32.4,0 days 00:00:00.874609,,KNN,,NONE,,WAVE,,manhattan,1,,,,,0.7,,,,,,,,0.43,,PRUNED,0
169,GP,0.138610766,03:32.4,03:33.3,0 days 00:00:00.958923,,KNN,,NONE,,WAVE,,minkowski,11,,,,,0.7,,,,,,,,0.48,,PRUNED,0
170,GP,0.103597416,03:33.4,03:34.2,0 days 00:00:00.818185,,KNN,,NONE,,WAVE,,euclidean,1,,,,,0.7,,,,,,,,0.38,,PRUNED,0
171,GP,0.138610766,03:34.2,03:35.1,0 days 00:00:00.858738,,KNN,,NONE,,WAVE,,euclidean,11,,,,,0.7,,,,,,,,0.39,,PRUNED,0
172,GP,0.127892715,03:35.1,03:36.0,0 days 00:00:00.978940,,KNN,,NONE,,WAVE,,manhattan,7,,,,,0.7,,,,,,,,0.45,,PRUNED,0
173,GP,0.148015753,03:36.1,03:37.0,0 days 00:00:00.899364,,KNN,,NONE,,WAVE,,euclidean,20,,,,,0.7,,,,,,,,0.39,,PRUNED,0
174,GP,0.148015753,03:37.0,03:37.9,0 days 00:00:00.909495,,KNN,,NONE,,WAVE,,euclidean,20,,,,,0.7,,,,,,,,0.43,,PRUNED,0
175,GP,0.138191829,03:37.9,03:38.7,0 days 00:00:00.855992,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.7,,,,,,,,0.4,,PRUNED,0
176,GP,0.155931443,03:38.8,03:39.7,0 days 00:00:00.915792,,KNN,,NONE,,WAVE,,minkowski,19,,,,,0.7,,,,,,,,0.4,,PRUNED,0
177,GP,0.137752984,03:39.7,03:40.7,0 days 00:00:00.986164,,KNN,,NONE,,WAVE,,manhattan,11,,,,,0.7,,,,,,,,0.48,,PRUNED,0
178,GP,0.110807199,03:40.7,03:41.6,0 days 00:00:00.867513,,KNN,,NONE,,WAVE,,euclidean,3,,,,,0.7,,,,,,,,0.41,,PRUNED,0
179,GP,0.106251772,03:41.6,03:42.4,0 days 00:00:00.852936,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.7,,,,,,,,0.39,,PRUNED,0
180,GP,0.106251772,03:42.4,03:43.3,0 days 00:00:00.893436,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.7,,,,,,,,0.39,,PRUNED,0
181,GP,0.127103076,03:43.4,03:44.2,0 days 00:00:00.896877,,KNN,,NONE,,WAVE,,manhattan,6,,,,,0.7,,,,,,,,0.39,,PRUNED,0
182,GP,0.155931443,03:44.3,03:45.2,0 days 00:00:00.931064,,KNN,,NONE,,WAVE,,minkowski,19,,,,,0.7,,,,,,,,0.43,,PRUNED,0
183,GP,0.127103076,03:45.2,03:46.1,0 days 00:00:00.871536,,KNN,,NONE,,WAVE,,manhattan,6,,,,,0.7,,,,,,,,0.39,,PRUNED,0
184,GP,0.155931443,03:46.1,03:46.9,0 days 00:00:00.846814,,KNN,,NONE,,WAVE,,euclidean,19,,,,,0.7,,,,,,,,0.38,,PRUNED,0
185,GP,0.106251772,03:46.9,03:47.8,0 days 00:00:00.877165,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.7,,,,,,,,0.38,,PRUNED,0
186,GP,0.110807199,03:47.8,03:48.7,0 days 00:00:00.848279,,KNN,,NONE,,WAVE,,euclidean,3,,,,,0.7,,,,,,,,0.39,,PRUNED,0
187,GP,0.151554962,03:48.7,03:49.6,0 days 00:00:00.904834,,KNN,,NONE,,WAVE,,minkowski,16,,,,,0.7,,,,,,,,0.4,,PRUNED,0
188,GP,0.14076317,03:49.6,03:50.5,0 days 00:00:00.902432,,KNN,,NONE,,WAVE,,manhattan,19,,,,,0.7,,,,,,,,0.38,,PRUNED,0
189,GP,0.138610766,03:50.5,03:51.4,0 days 00:00:00.863780,,KNN,,NONE,,WAVE,,minkowski,11,,,,,0.7,,,,,,,,0.39,,PRUNED,0
190,GP,0.14076317,03:51.4,03:52.3,0 days 00:00:00.875801,,KNN,,NONE,,WAVE,,manhattan,19,,,,,0.7,,,,,,,,0.37,,PRUNED,0
191,GP,0.147570254,03:52.3,03:53.3,0 days 00:00:00.981782,,KNN,,NONE,,WAVE,,minkowski,14,,,,,0.7,,,,,,,,0.5,,PRUNED,0
192,GP,0.139194902,03:53.3,03:54.2,0 days 00:00:00.914961,,KNN,,NONE,,WAVE,,manhattan,17,,,,,0.7,,,,,,,,0.39,,PRUNED,0
193,GP,0.146207857,03:54.2,03:55.2,0 days 00:00:00.941971,,KNN,,NONE,,WAVE,,minkowski,18,,,,,0.7,,,,,,,,0.44,,PRUNED,0
194,GP,0.106251772,03:55.2,03:56.0,0 days 00:00:00.873009,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.7,,,,,,,,0.38,,PRUNED,0
195,GP,0.127103076,03:56.0,03:57.0,0 days 00:00:00.905056,,KNN,,NONE,,WAVE,,manhattan,6,,,,,0.7,,,,,,,,0.4,,PRUNED,0
196,GP,0.142664969,03:57.0,03:57.9,0 days 00:00:00.950419,,KNN,,NONE,,WAVE,,manhattan,20,,,,,0.7,,,,,,,,0.41,,PRUNED,0
197,GP,0.126704414,03:57.9,03:58.9,0 days 00:00:01.003499,,KNN,,NONE,,WAVE,,manhattan,8,,,,,0.7,,,,,,,,0.48,,PRUNED,0
198,GP,0.155931443,03:58.9,03:59.9,0 days 00:00:00.927558,,KNN,,NONE,,WAVE,,euclidean,19,,,,,0.7,,,,,,,,0.43,,PRUNED,0
199,GP,0.110807199,03:59.9,04:00.7,0 days 00:00:00.843658,,KNN,,NONE,,WAVE,,minkowski,3,,,,,0.7,,,,,,,,0.38,,PRUNED,0
0,GP,0.02308,05:58.2,06:01.5,0 days 00:00:03.315870,,MLP,5,WPD,,ENT,,,,0.021924769,,1,8,0.95,,,,0.85,sym9,17607.01,2.95,0.24,0.061805286,COMPLETE,1
1,GP,0.00132,06:01.5,06:27.1,0 days 00:00:25.583877,1.489801336,SVM,,NONE,,FRAC,31,,,,,,,0.85,,,sigmoid,,,17607.01,25.33,0.15,0.044897575,COMPLETE,1
2,GP,0.00487,06:27.1,06:46.4,0 days 00:00:19.251997,0.074231464,SVM,,WPD,,COV,,,,,,,,0.5,,,sigmoid,0.05,coif1,17607.01,18.59,0.55,0.044142504,COMPLETE,1
3,GP,0.03993,06:46.4,06:57.4,0 days 00:00:10.960173,,MLP,,WPD,,STAT,,,,0.058426811,,77,,0.9,,,,0.9,sym9,17607.01,10.46,0.37,0.043957253,COMPLETE,1
4,GP,0.13547,06:57.4,07:00.5,0 days 00:00:03.123748,,RF,,WPD,,WAVE,,,,,,,,0.8,510,102,,0.05,coif1,17607.01,2.53,0.48,0.046878119,COMPLETE,1
5,GP,0.023957741,07:00.5,07:01.3,0 days 00:00:00.773270,,RF,,NONE,,WAVE,,,,,,,,0.5,10,2,,,,,,0.39,,PRUNED,1
6,GP,0.47945,07:01.3,07:03.0,0 days 00:00:01.716459,,KNN,,WPD,,COV,,euclidean,8,,,,,0.9,,,,0.15,db6,17607.01,0.94,0.63,0.04482295,COMPLETE,1
7,GP,0.11255,07:03.0,07:04.6,0 days 00:00:01.565668,,LR,,WPD,,WAVE,,,,,0.239923774,,,0.95,,,,0.05,coif1,17607.01,0.97,0.48,0.044483204,COMPLETE,1
8,GP,0.003096747,07:04.6,07:09.7,0 days 00:00:05.072848,0.140795098,SVM,,NONE,,WAVE,,,,,,,,0.7,,,rbf,,,,,0.38,,PRUNED,1
9,GP,0,07:09.7,07:10.9,0 days 00:00:01.190501,,MLP,,WPD,,WAVE,,,,0.079073806,,36,,0.6,,,,0.4,db6,,,0.47,,PRUNED,1
10,GP,0.07327,07:10.9,08:10.1,0 days 00:00:59.200741,,LR,,WPD,,FRAC,38,,,,0.015117479,,,0.95,,,,0.35,db4,17973.54,0.4,58.71,0.053143053,COMPLETE,1
11,GP,0.056911676,08:10.1,09:13.2,0 days 00:01:03.094086,0.003768982,SVM,,WPD,,STAT,,,,,,,,0.9,,,linear,0.7,db6,,,61.79,,PRUNED,1
12,GP,0.18337,09:13.2,09:15.0,0 days 00:00:01.739150,,LR,,NONE,,COV,,,,,0.698087443,,,0.9,,,,,,18406.03,1.12,0.49,0.023497343,COMPLETE,1
13,GP,0.050215543,09:15.0,09:52.7,0 days 00:00:37.680068,,RF,,EMD,0.9,STAT,,,,,,,,0.7,810,102,,,,,,36.38,,PRUNED,1
14,GP,0.12706,09:52.7,10:45.8,0 days 00:00:53.085775,,RF,,EMD,0.1,COV,,,,,,,,0.65,410,22,,,,19256.77,1.03,51.95,0.044457216,COMPLETE,1
15,GP,0.29606,10:45.8,12:02.7,0 days 00:01:16.956451,,KNN,,WPD,,COV,,minkowski,20,,,,,0.65,,,,0.35,db6,19706.69,0.42,76.26,0.202470798,COMPLETE,1
16,GP,0.50094,12:02.8,13:20.8,0 days 00:01:18.092540,,KNN,,WPD,,COV,,minkowski,5,,,,,1,,,,0.5,db6,20257.83,0.9,76.89,0.144131441,COMPLETE,1
17,GP,0.31933,13:20.9,13:22.2,0 days 00:00:01.363209,,KNN,,WPD,,WAVE,,minkowski,15,,,,,1,,,,0.55,sym9,20336.8,0.74,0.39,0.097901602,COMPLETE,1
18,GP,0.41151,13:22.2,13:34.3,0 days 00:00:12.091131,,KNN,,NONE,,COV,,manhattan,10,,,,,1,,,,,,20442.04,11.45,0.36,0.103311548,COMPLETE,1
19,GP,0.31622,13:34.3,13:46.6,0 days 00:00:12.239083,,KNN,,EMD,0.55,COV,,manhattan,14,,,,,1,,,,,,20547.27,11.49,0.47,0.11209919,COMPLETE,1
20,GP,0.3538,13:46.6,15:04.6,0 days 00:01:17.994579,,KNN,,WPD,,COV,,minkowski,16,,,,,1,,,,0.85,db4,21098.42,1.05,76.67,0.109385986,COMPLETE,1
21,GP,0.054083284,15:04.6,15:05.3,0 days 00:00:00.712294,,KNN,,NONE,,STAT,,minkowski,18,,,,,1,,,,,,,,0.24,,PRUNED,1
22,GP,0.058245405,15:05.3,15:06.2,0 days 00:00:00.818521,,KNN,,NONE,,STAT,,euclidean,13,,,,,1,,,,,,,,0.23,,PRUNED,1
23,GP,0.057731203,15:06.2,15:06.8,0 days 00:00:00.661243,,KNN,,NONE,,STAT,,minkowski,15,,,,,1,,,,,,,,0.23,,PRUNED,1
24,GP,0.054118378,15:06.8,15:07.7,0 days 00:00:00.821101,,KNN,,NONE,,STAT,,euclidean,7,,,,,1,,,,,,,,0.22,,PRUNED,1
25,GP,0.071248993,15:07.7,15:08.4,0 days 00:00:00.687899,,KNN,,NONE,,STAT,,minkowski,20,,,,,1,,,,,,,,0.23,,PRUNED,1
26,GP,0.055413875,15:08.4,15:09.0,0 days 00:00:00.658919,,KNN,,NONE,,STAT,,minkowski,11,,,,,1,,,,,,,,0.22,,PRUNED,1
27,GP,0.055413875,15:09.0,15:09.9,0 days 00:00:00.822410,,KNN,,NONE,,STAT,,euclidean,11,,,,,1,,,,,,,,0.22,,PRUNED,1
28,GP,0.06761138,15:09.9,15:12.6,0 days 00:00:02.717051,,KNN,,NONE,,STAT,,manhattan,1,,,,,1,,,,,,,,0.23,,PRUNED,1
29,GP,0.052501802,15:12.6,15:13.4,0 days 00:00:00.834123,,KNN,,NONE,,STAT,,euclidean,8,,,,,1,,,,,,,,0.23,,PRUNED,1
30,GP,0.047383691,15:13.4,15:14.1,0 days 00:00:00.661201,,KNN,,NONE,,STAT,,minkowski,4,,,,,1,,,,,,,,0.23,,PRUNED,1
31,GP,0.049800625,15:14.1,15:14.7,0 days 00:00:00.624730,,KNN,,NONE,,STAT,,minkowski,5,,,,,1,,,,,,,,0.22,,PRUNED,1
32,GP,0.082248539,15:14.8,15:17.5,0 days 00:00:02.721082,,KNN,,NONE,,STAT,,manhattan,10,,,,,1,,,,,,,,0.22,,PRUNED,1
33,GP,0.057443771,15:17.5,15:18.2,0 days 00:00:00.667226,,KNN,,NONE,,STAT,,minkowski,16,,,,,1,,,,,,,,0.22,,PRUNED,1
34,GP,0.092574083,15:18.2,15:20.9,0 days 00:00:02.687083,,KNN,,NONE,,STAT,,manhattan,17,,,,,1,,,,,,,,0.22,,PRUNED,1
35,GP,0.055413875,15:20.9,15:21.7,0 days 00:00:00.825141,,KNN,,NONE,,STAT,,euclidean,11,,,,,1,,,,,,,,0.23,,PRUNED,1
36,GP,0.092202067,15:21.7,15:24.5,0 days 00:00:02.726451,,KNN,,NONE,,STAT,,manhattan,15,,,,,1,,,,,,,,0.23,,PRUNED,1
37,GP,0.0696835,15:24.5,15:27.2,0 days 00:00:02.709920,,KNN,,NONE,,STAT,,manhattan,6,,,,,1,,,,,,,,0.22,,PRUNED,1
38,GP,0.058245405,15:27.2,15:28.1,0 days 00:00:00.859994,,KNN,,NONE,,STAT,,euclidean,13,,,,,1,,,,,,,,0.23,,PRUNED,1
39,GP,0.054118378,15:28.1,15:28.9,0 days 00:00:00.849132,,KNN,,NONE,,STAT,,euclidean,7,,,,,1,,,,,,,,0.23,,PRUNED,1
40,GP,0.058245405,15:28.9,15:29.7,0 days 00:00:00.815794,,KNN,,NONE,,STAT,,euclidean,13,,,,,1,,,,,,,,0.23,,PRUNED,1
41,GP,0.049347895,15:29.8,15:30.6,0 days 00:00:00.832988,,KNN,,NONE,,STAT,,euclidean,2,,,,,1,,,,,,,,0.22,,PRUNED,1
42,GP,0.098526895,15:30.6,15:33.3,0 days 00:00:02.688956,,KNN,,NONE,,STAT,,manhattan,16,,,,,1,,,,,,,,0.22,,PRUNED,1
43,GP,0.044293818,15:33.3,15:34.0,0 days 00:00:00.648973,,KNN,,NONE,,STAT,,minkowski,10,,,,,1,,,,,,,,0.23,,PRUNED,1
44,GP,0.042891438,15:34.0,15:34.8,0 days 00:00:00.802468,,KNN,,NONE,,STAT,,euclidean,9,,,,,1,,,,,,,,0.23,,PRUNED,1
45,GP,0.054756852,15:34.8,15:35.5,0 days 00:00:00.768221,,KNN,,NONE,,STAT,,euclidean,3,,,,,1,,,,,,,,0.23,,PRUNED,1
46,GP,0.054612138,15:35.6,15:36.3,0 days 00:00:00.781500,,KNN,,NONE,,STAT,,euclidean,1,,,,,1,,,,,,,,0.23,,PRUNED,1
47,GP,0.063731473,15:36.4,15:37.0,0 days 00:00:00.647990,,KNN,,NONE,,STAT,,minkowski,19,,,,,1,,,,,,,,0.23,,PRUNED,1
48,GP,0.08166977,15:37.0,15:39.9,0 days 00:00:02.851872,,KNN,,NONE,,STAT,,manhattan,13,,,,,1,,,,,,,,0.23,,PRUNED,1
49,GP,0.057731203,15:39.9,15:40.7,0 days 00:00:00.816565,,KNN,,NONE,,STAT,,euclidean,15,,,,,1,,,,,,,,0.22,,PRUNED,1
50,GP,0.068121475,15:40.7,15:43.7,0 days 00:00:02.985705,,KNN,,NONE,,STAT,,manhattan,4,,,,,1,,,,,,,,0.23,,PRUNED,1
51,GP,0.05546202,15:43.7,15:44.3,0 days 00:00:00.618194,,KNN,,NONE,,STAT,,minkowski,6,,,,,1,,,,,,,,0.23,,PRUNED,1
52,GP,0.05546202,15:44.3,15:45.0,0 days 00:00:00.689457,,KNN,,NONE,,STAT,,minkowski,6,,,,,1,,,,,,,,0.22,,PRUNED,1
53,GP,0.052501802,15:45.0,15:45.7,0 days 00:00:00.670206,,KNN,,NONE,,STAT,,minkowski,8,,,,,1,,,,,,,,0.22,,PRUNED,1
54,GP,0.06761138,15:45.7,15:48.4,0 days 00:00:02.721631,,KNN,,NONE,,STAT,,manhattan,1,,,,,1,,,,,,,,0.23,,PRUNED,1
55,GP,0.088300323,15:48.4,15:51.5,0 days 00:00:03.101075,,KNN,,NONE,,STAT,,manhattan,11,,,,,1,,,,,,,,0.24,,PRUNED,1
56,GP,0.086875719,15:51.6,15:54.3,0 days 00:00:02.706616,,KNN,,NONE,,STAT,,manhattan,14,,,,,1,,,,,,,,0.22,,PRUNED,1
57,GP,0.054612138,15:54.3,15:55.2,0 days 00:00:00.913905,,KNN,,NONE,,STAT,,euclidean,1,,,,,1,,,,,,,,0.22,,PRUNED,1
58,GP,0.063731473,15:55.2,15:56.1,0 days 00:00:00.847877,,KNN,,NONE,,STAT,,euclidean,19,,,,,1,,,,,,,,0.26,,PRUNED,1
59,GP,0.063731473,15:56.1,15:56.9,0 days 00:00:00.822812,,KNN,,NONE,,STAT,,euclidean,19,,,,,1,,,,,,,,0.23,,PRUNED,1
60,GP,0.049800625,15:56.9,15:57.6,0 days 00:00:00.660123,,KNN,,NONE,,STAT,,minkowski,5,,,,,1,,,,,,,,0.23,,PRUNED,1
61,GP,0.047383691,15:57.6,15:58.2,0 days 00:00:00.635425,,KNN,,NONE,,STAT,,minkowski,4,,,,,1,,,,,,,,0.22,,PRUNED,1
62,GP,0.047383691,15:58.2,15:59.1,0 days 00:00:00.830408,,KNN,,NONE,,STAT,,euclidean,4,,,,,1,,,,,,,,0.22,,PRUNED,1
63,GP,0.054118378,15:59.1,15:59.7,0 days 00:00:00.659344,,KNN,,NONE,,STAT,,minkowski,7,,,,,1,,,,,,,,0.22,,PRUNED,1
64,GP,0.044293818,15:59.7,16:00.4,0 days 00:00:00.697867,,KNN,,NONE,,STAT,,minkowski,10,,,,,1,,,,,,,,0.24,,PRUNED,1
65,GP,0.071248993,16:00.5,16:01.2,0 days 00:00:00.710099,,KNN,,NONE,,STAT,,minkowski,20,,,,,1,,,,,,,,0.23,,PRUNED,1
66,GP,0.063731473,16:01.2,16:02.0,0 days 00:00:00.873278,,KNN,,NONE,,STAT,,euclidean,19,,,,,1,,,,,,,,0.23,,PRUNED,1
67,GP,0.049347895,16:02.1,16:02.7,0 days 00:00:00.643807,,KNN,,NONE,,STAT,,minkowski,2,,,,,1,,,,,,,,0.22,,PRUNED,1
68,GP,0.047383691,16:02.7,16:03.5,0 days 00:00:00.827801,,KNN,,NONE,,STAT,,euclidean,4,,,,,1,,,,,,,,0.23,,PRUNED,1
69,GP,0.058245405,16:03.6,16:04.4,0 days 00:00:00.829721,,KNN,,NONE,,STAT,,euclidean,13,,,,,1,,,,,,,,0.23,,PRUNED,1
70,GP,0.081209211,16:04.4,16:07.4,0 days 00:00:03.028798,,KNN,,NONE,,STAT,,manhattan,8,,,,,1,,,,,,,,0.55,,PRUNED,1
71,GP,0.044293818,16:07.4,16:08.1,0 days 00:00:00.669613,,KNN,,NONE,,STAT,,minkowski,10,,,,,1,,,,,,,,0.22,,PRUNED,1
72,GP,0.054118378,16:08.1,16:09.0,0 days 00:00:00.879199,,KNN,,NONE,,STAT,,euclidean,7,,,,,1,,,,,,,,0.23,,PRUNED,1
73,GP,0.055413875,16:09.0,16:09.8,0 days 00:00:00.822169,,KNN,,NONE,,STAT,,euclidean,11,,,,,1,,,,,,,,0.22,,PRUNED,1
74,GP,0.054118378,16:09.8,16:11.0,0 days 00:00:01.172305,,KNN,,NONE,,STAT,,minkowski,7,,,,,1,,,,,,,,0.74,,PRUNED,1
